GO_ID	term	annotated	significant_genes	auc	pvalue_wilcoxon	padj_wilcoxon_BH	direction	significant
GO:0002532	production of molecular mediator involved in inflammatory response	73	5	0.66725428731115	7.79434725206585e-07	2.10065299960088e-05	Higher in TB	TRUE
GO:0045089	positive regulation of innate immune response	346	23	0.577171098896594	8.38512510981104e-07	2.24884965140201e-05	Higher in TB	FALSE
GO:0006897	endocytosis	585	21	0.55964532583846	8.72619974279232e-07	2.32896340708117e-05	Higher in TB	FALSE
GO:0007596	blood coagulation	170	11	0.609213546004158	9.10124197117668e-07	2.40947502419053e-05	Higher in TB	TRUE
GO:0051236	establishment of RNA localization	153	1	0.384938844799559	9.11551118646107e-07	2.40947502419053e-05	Lower in TB	TRUE
GO:0098727	maintenance of cell number	101	3	0.358672227922658	9.26250046521508e-07	2.43661375874414e-05	Lower in TB	TRUE
GO:0006310	DNA recombination	293	3	0.416644774376979	9.41156025668113e-07	2.46403610910633e-05	Lower in TB	FALSE
GO:0006164	purine nucleotide biosynthetic process	165	1	0.610652470357511	9.4968710429022e-07	2.4745875352548e-05	Higher in TB	TRUE
GO:0050817	coagulation	171	11	0.608337560103086	1.0346716567966e-06	2.68331357031497e-05	Higher in TB	TRUE
GO:0033044	regulation of chromosome organization	239	4	0.408876048095936	1.24358307625498e-06	3.20996232546943e-05	Lower in TB	FALSE
GO:0050878	regulation of body fluid levels	236	13	0.591365950954079	1.35694849801027e-06	3.48621628133666e-05	Higher in TB	FALSE
GO:0032692	negative regulation of interleukin-1 production	31	5	0.750252164811114	1.41744690496104e-06	3.62470841091897e-05	Higher in TB	TRUE
GO:0014902	myotube differentiation	104	4	0.36388628870591	1.62715073214453e-06	4.14170126172714e-05	Lower in TB	TRUE
GO:1902600	proton transmembrane transport	156	0	0.611113072492662	1.69098624369646e-06	4.28435132158669e-05	Higher in TB	TRUE
GO:0042221	response to chemical	2497	84	0.529656243899132	1.77124967071229e-06	4.46712416953036e-05	Higher in TB	FALSE
GO:0006401	RNA catabolic process	340	3	0.424544772097321	1.79272591597789e-06	4.50064250504403e-05	Lower in TB	FALSE
GO:0050776	regulation of immune response	827	70	0.548988989523358	1.83458302349671e-06	4.57432717880571e-05	Higher in TB	FALSE
GO:0051726	regulation of cell cycle	899	18	0.452923103761763	1.83871645419437e-06	4.57432717880571e-05	Lower in TB	FALSE
GO:0009150	purine ribonucleotide metabolic process	288	4	0.581620070758707	1.9264820800835e-06	4.77108039472932e-05	Higher in TB	FALSE
GO:0061157	mRNA destabilization	109	1	0.36815984559762	1.99334979415743e-06	4.9145458153711e-05	Lower in TB	TRUE
GO:0000723	telomere maintenance	158	2	0.390444945116691	2.03408059750974e-06	4.99257818085204e-05	Lower in TB	TRUE
GO:0032755	positive regulation of interleukin-6 production	74	2	0.659599229376673	2.07089045223263e-06	5.0603358695e-05	Higher in TB	TRUE
GO:0002697	regulation of immune effector process	285	16	0.581687076153763	2.13296467532764e-06	5.18895565705813e-05	Higher in TB	FALSE
GO:2000779	regulation of double-strand break repair	138	3	0.383117482147911	2.1512073310507e-06	5.19982376674213e-05	Lower in TB	TRUE
GO:0050829	defense response to Gram-negative bacterium	49	7	0.695662320331579	2.15634743327975e-06	5.19982376674213e-05	Higher in TB	TRUE
GO:0010604	positive regulation of macromolecule metabolic process	2489	62	0.470572179416826	2.19401220518115e-06	5.26754546029955e-05	Lower in TB	FALSE
GO:0098657	import into cell	776	27	0.55004348326902	2.27177804501544e-06	5.41902623303855e-05	Higher in TB	FALSE
GO:0042060	wound healing	305	13	0.578785701983972	2.27681895204057e-06	5.41902623303855e-05	Higher in TB	FALSE
GO:2000781	positive regulation of double-strand break repair	94	2	0.358954673591694	2.30075636613258e-06	5.42246128469092e-05	Lower in TB	TRUE
GO:0050779	RNA destabilization	111	1	0.370145313641139	2.30102628988625e-06	5.42246128469092e-05	Lower in TB	TRUE
