GO_ID	term	topGO_pvalue	topGO_significant	Wilcoxon_pvalue	Wilcoxon_significant	n_methods_included	n_methods_significant	median_pvalue
GO:0090049	regulation of cell migration involved in sprouting angiogenesis	1.0	False	0.987912439058569	False	2	0	0.9939562195292845
GO:0014032	neural crest cell development	1.0	False	0.988395839996164	False	2	0	0.9941979199980819
GO:0061036	positive regulation of cartilage development	1.0	False	0.988395839996164	False	2	0	0.9941979199980819
GO:0010644	cell communication by electrical coupling	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0014823	response to activity	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0016024	CDP-diacylglycerol biosynthetic process	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0048714	positive regulation of oligodendrocyte differentiation	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0061437	renal system vasculature development	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0061440	kidney vasculature development	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0061458	reproductive system development	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0071331	cellular response to hexose stimulus	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0071634	regulation of transforming growth factor beta production	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0072527	pyrimidine-containing compound metabolic process	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:1901343	negative regulation of vasculature development	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:1903779	regulation of cardiac conduction	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:2000181	negative regulation of blood vessel morphogenesis	1.0	False	0.989064934880729	False	2	0	0.9945324674403645
GO:0009081	branched-chain amino acid metabolic process	1.0	False	0.989569205266342	False	2	0	0.994784602633171
GO:0045047	protein targeting to ER	1.0	False	0.989569205266342	False	2	0	0.994784602633171
GO:0097400	interleukin-17-mediated signaling pathway	1.0	False	0.989569205266342	False	2	0	0.994784602633171
GO:0051590	positive regulation of neurotransmitter transport	1.0	False	0.989570403026854	False	2	0	0.994785201513427
GO:0090205	positive regulation of cholesterol metabolic process	1.0	False	0.989570403026854	False	2	0	0.994785201513427
GO:0032197	retrotransposition	1.0	False	0.990884857661428	False	2	0	0.995442428830714
GO:0071391	cellular response to estrogen stimulus	1.0	False	0.990884857661428	False	2	0	0.995442428830714
GO:0006222	UMP biosynthetic process	1.0	False	0.991223996084444	False	2	0	0.995611998042222
GO:0006363	termination of RNA polymerase I transcription	1.0	False	0.991223996084444	False	2	0	0.995611998042222
GO:0072012	glomerulus vasculature development	1.0	False	0.991223996084444	False	2	0	0.995611998042222
GO:0098698	postsynaptic specialization assembly	1.0	False	0.991223996084444	False	2	0	0.995611998042222
GO:1902775	mitochondrial large ribosomal subunit assembly	1.0	False	0.991223996084444	False	2	0	0.995611998042222
GO:1905039	carboxylic acid transmembrane transport	1.0	False	0.991223996084444	False	2	0	0.995611998042222
GO:0002042	cell migration involved in sprouting angiogenesis	1.0	False	0.991310503233914	False	2	0	0.995655251616957
GO:0051338	regulation of transferase activity	1.0	False	0.992322972377376	False	2	0	0.996161486188688
GO:0046628	positive regulation of insulin receptor signaling pathway	1.0	False	0.992494269342064	False	2	0	0.996247134671032
GO:0048488	synaptic vesicle endocytosis	1.0	False	0.992494269342064	False	2	0	0.996247134671032
GO:0044342	type B pancreatic cell proliferation	1.0	False	0.99276107542054	False	2	0	0.99638053771027
GO:1904044	response to aldosterone	1.0	False	0.99276107542054	False	2	0	0.99638053771027
GO:0002262	myeloid cell homeostasis	1.0	False	0.993369677167644	False	2	0	0.9966848385838221
GO:0008156	negative regulation of DNA replication	1.0	False	0.993397379003663	False	2	0	0.9966986895018315
