GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0006275	regulation of DNA replication	116	0	2	0	1	1	1	FALSE	0	0		
GO:0006283	transcription-coupled nucleotide-excision repair	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006284	base-excision repair	46	0	0.79	0	1	1	1	FALSE	0	0		
GO:0006285	base-excision repair, AP site formation	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006287	base-excision repair, gap-filling	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0006298	mismatch repair	30	0	0.52	0	1	1	1	FALSE	0	0		
GO:0006301	DNA damage tolerance	37	0	0.64	0	1	1	1	FALSE	0	0		
GO:0006304	DNA modification	27	0	0.46	0	1	1	1	FALSE	0	0		
GO:0006307	DNA alkylation repair	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006308	DNA catabolic process	25	0	0.43	0	1	1	1	FALSE	0	0		
GO:0006309	apoptotic DNA fragmentation	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006312	mitotic recombination	25	0	0.43	0	1	1	1	FALSE	0	0		
GO:0006346	DNA methylation-dependent constitutive heterochromatin formation	25	0	0.43	0	1	1	1	FALSE	0	0		
GO:0006352	DNA-templated transcription initiation	241	0	4.15	0	1	1	1	FALSE	0	0		
GO:0006353	DNA-templated transcription termination	46	0	0.79	0	1	1	1	FALSE	0	0		
GO:0006354	DNA-templated transcription elongation	163	0	2.8	0	1	1	1	FALSE	0	0		
GO:0006359	regulation of transcription by RNA polymerase III	32	0	0.55	0	1	1	1	FALSE	0	0		
GO:0006361	transcription initiation at RNA polymerase I promoter	24	0	0.41	0	1	1	1	FALSE	0	0		
GO:0006362	transcription elongation by RNA polymerase I	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0006363	termination of RNA polymerase I transcription	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0006367	transcription initiation at RNA polymerase II promoter	187	0	3.22	0	1	1	1	FALSE	0	0		
GO:0006368	transcription elongation by RNA polymerase II	140	0	2.41	0	1	1	1	FALSE	0	0		
GO:0006369	termination of RNA polymerase II transcription	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0006376	mRNA splice site recognition	28	0	0.48	0	1	1	1	FALSE	0	0		
GO:0006383	transcription by RNA polymerase III	62	0	1.07	0	1	1	1	FALSE	0	0		
GO:0006384	transcription initiation at RNA polymerase III promoter	26	0	0.45	0	1	1	1	FALSE	0	0		
GO:0006386	termination of RNA polymerase III transcription	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006390	mitochondrial transcription	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0006400	tRNA modification	96	0	1.65	0	1	1	1	FALSE	0	0		
GO:0006405	RNA export from nucleus	90	0	1.55	0	1	1	1	FALSE	0	0		
GO:0006406	mRNA export from nucleus	70	0	1.2	0	1	1	1	FALSE	0	0		
GO:0006414	translational elongation	75	0	1.29	0	1	1	1	FALSE	0	0		
GO:0006415	translational termination	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0006448	regulation of translational elongation	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006450	regulation of translational fidelity	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0006458	'de novo' protein folding	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006473	protein acetylation	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006476	protein deacetylation	27	0	0.46	0	1	1	1	FALSE	0	0		
GO:0006479	protein methylation	39	0	0.67	0	1	1	1	FALSE	0	0		
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	20	0	0.34	0	1	1	1	FALSE	0	0		
GO:0006491	N-glycan processing	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006497	protein lipidation	40	0	0.69	0	1	1	1	FALSE	0	0		
GO:0006505	GPI anchor metabolic process	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006506	GPI anchor biosynthetic process	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006517	protein deglycosylation	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006525	arginine metabolic process	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006536	glutamate metabolic process	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006541	glutamine metabolic process	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006555	methionine metabolic process	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006563	L-serine metabolic process	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006568	L-tryptophan metabolic process	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006576	biogenic amine metabolic process	46	0	0.79	0	1	1	1	FALSE	0	0		
GO:0006577	amino-acid betaine metabolic process	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0006582	melanin metabolic process	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0006584	catecholamine metabolic process	24	0	0.41	0	1	1	1	FALSE	0	0		
GO:0006590	thyroid hormone generation	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006595	polyamine metabolic process	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0006596	polyamine biosynthetic process	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0006606	protein import into nucleus	128	0	2.2	0	1	1	1	FALSE	0	0		
GO:0006607	NLS-bearing protein import into nucleus	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006612	protein targeting to membrane	106	0	1.82	0	1	1	1	FALSE	0	0		
GO:0006613	cotranslational protein targeting to membrane	26	0	0.45	0	1	1	1	FALSE	0	0		
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	21	0	0.36	0	1	1	1	FALSE	0	0		
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006620	post-translational protein targeting to endoplasmic reticulum membrane	18	0	0.31	0	1	1	1	FALSE	0	0		
